DriverNumber,Abbreviation,TeamName,GridPosition,Position,Year,Podium
1,VER,Red Bull Racing,1.0,1.0,2023,1
44,HAM,Mercedes,3.0,2.0,2023,1
14,ALO,Aston Martin,4.0,3.0,2023,1
18,STR,Aston Martin,6.0,4.0,2023,0
11,PER,Red Bull Racing,20.0,5.0,2023,0
4,NOR,McLaren,13.0,6.0,2023,0
27,HUL,Haas F1 Team,10.0,7.0,2023,0
81,PIA,McLaren,16.0,8.0,2023,0
24,ZHO,Alfa Romeo,17.0,9.0,2023,0
22,TSU,AlphaTauri,12.0,10.0,2023,0
77,BOT,Alfa Romeo,19.0,11.0,2023,0
55,SAI,Ferrari,5.0,12.0,2023,0
10,GAS,Alpine,9.0,13.0,2023,0
31,OCO,Alpine,11.0,14.0,2023,0
21,DEV,AlphaTauri,15.0,15.0,2023,0
2,SAR,Williams,18.0,16.0,2023,0
20,MAG,Haas F1 Team,14.0,17.0,2023,0
63,RUS,Mercedes,2.0,18.0,2023,0
23,ALB,Williams,8.0,19.0,2023,0
16,LEC,Ferrari,7.0,20.0,2023,0
55,SAI,Ferrari,2.0,1.0,2024,1
16,LEC,Ferrari,4.0,2.0,2024,1
4,NOR,McLaren,3.0,3.0,2024,1
81,PIA,McLaren,5.0,4.0,2024,0
11,PER,Red Bull Racing,6.0,5.0,2024,0
18,STR,Aston Martin,9.0,6.0,2024,0
22,TSU,RB,8.0,7.0,2024,0
14,ALO,Aston Martin,10.0,8.0,2024,0
27,HUL,Haas F1 Team,16.0,9.0,2024,0
20,MAG,Haas F1 Team,14.0,10.0,2024,0
23,ALB,Williams,12.0,11.0,2024,0
3,RIC,RB,18.0,12.0,2024,0
10,GAS,Alpine,17.0,13.0,2024,0
77,BOT,Kick Sauber,13.0,14.0,2024,0
24,ZHO,Kick Sauber,19.0,15.0,2024,0
31,OCO,Alpine,15.0,16.0,2024,0
63,RUS,Mercedes,7.0,17.0,2024,0
44,HAM,Mercedes,11.0,18.0,2024,0
1,VER,Red Bull Racing,1.0,19.0,2024,0
4,NOR,McLaren,1.0,1.0,2025,1
1,VER,Red Bull Racing,3.0,2.0,2025,1
63,RUS,Mercedes,4.0,3.0,2025,1
12,ANT,Mercedes,16.0,4.0,2025,0
23,ALB,Williams,6.0,5.0,2025,0
18,STR,Aston Martin,13.0,6.0,2025,0
27,HUL,Kick Sauber,17.0,7.0,2025,0
16,LEC,Ferrari,7.0,8.0,2025,0
81,PIA,McLaren,2.0,9.0,2025,0
44,HAM,Ferrari,8.0,10.0,2025,0
10,GAS,Alpine,9.0,11.0,2025,0
22,TSU,Racing Bulls,5.0,12.0,2025,0
31,OCO,Haas F1 Team,19.0,13.0,2025,0
87,BEA,Haas F1 Team,20.0,14.0,2025,0
30,LAW,Red Bull Racing,18.0,15.0,2025,0
5,BOR,Kick Sauber,15.0,16.0,2025,0
14,ALO,Aston Martin,12.0,17.0,2025,0
55,SAI,Williams,10.0,18.0,2025,0
7,DOO,Alpine,14.0,19.0,2025,0
6,HAD,Racing Bulls,11.0,20.0,2025,0
